id,idx,name,mass,nametype,recclass,reclat,reclong,year,fall,googleCount,bingCount,youtubeCount,twitterCount,flickrCount,text
15,432,"Akwanga",3000,"Valid","H",8.91667,8.43333,1959,"Fell",96,3,0,0,0,"AKWANGA, Nigeria; φ = 8°55'N, λ = 8°26'E.
FELL July 2, 1959, 3 kg. 
"
16,433,"Akyumak",50000,"Valid","Iron, IVA",39.91667,42.81667,1981,"Fell",6,4,0,0,0,"Akyumak
Akyumak village, East Anatolia; Turkey
Fell 2 August 1981, 1530-1600 hr
Iron. Octahedrite, medium (0.32
mm) (IVA).
A mass of between 45 and 50 kg fell, with associated light
and sound effects, making an impact pit 50 cm in diameter and about 90 cm deep.
Description and analysis, 7.7% Ni, 1.9 ppm Ga, <40 ppm Ge, 1.8 ppm Ir, K.
Colakoglu and M. Ceylan, Meteoritics, 1988, 23, p. 371. 18 kg, Elazig, Univ.
"
17,446,"Al Rais",160,"Valid","CR2-an",24.41667,39.51667,1957,"Fell",364,3,0,1,0,"B. Mason's
book, «Meteorites», John Wiley & Sons, New York, 1962, on page 96, mentions
a new stony meteorite, carbonaceous chondrite, Al Rais, Arabia;
weight 0.16 kg.; fell December 10, 1957.
"
18,447,"Al Zarnkh",700,"Valid","LL5",13.66033,28.96,2001,"Fell",84,4,0,0,0,"Al Zarnkh
Barah,
Northern Kordofan, Sudan
Fell 2001
February 8
Ordinary
chondrite (LL5)
A meteorite was seen to fall on
February 8, 2001, by the villagers of Al Zarnkh, about 150 km west of Barah, in
the western region of Sudan. A fusion-crusted mass of 700 g was then recovered
by geologist Dr. Salah Bashir. Mineralogy and classification (Abbasher M.
Gismelseed, Sultan Qaboos): LL5, Fa28, Fs23. Specimens:
type specimens, 20 and 75 g, Sultan Qaboos; main mass: Salah Bashir,
Faculty of Science, Department of Geology, Khartoum University, Sudan.
"
19,448,"Alais",6000,"Valid","CI1",44.11667,4.08333,1806,"Fell",1580,31,0,2,0,""
20,453,"Albareto",2000,"Valid","L/LL4",44.65,11.01667,1766,"Fell",2190,13,0,0,0,""
21,454,"Alberta",625,"Valid","L",2,22.66667,1949,"Fell",2070,1440,0,58,15,"ALBERTA, Belgian Congo, Africa. Stone.
Literature: 1.
Bull. Serv. Geo1. Congo Belge et Ruanda-Urundi. 1954, No. 5, 29-51. /MA-12-611/.
"
22,458,"Alby sur Chéran",252,"Valid","Eucrite-mmict",45.82133,6.01533,2002,"Fell",5,2,0,0,0,"Alby sur Chéran
Haute Savoie, France
Fell 2002
February
Achondrite
(monomict basaltic eucrite)
A 252 g stone with black shiny
fusion crust was found on March 22 in the roof of a building, in a hole in the
insulating material. Water was first observed leaking from the ceiling inside
the building at 8:30 am on March 18, 2002. The stone had broken into 2
fragments (238.9 g and 13 g) upon impact. Taking into account the local amount
of rainfall in the previous days, the absorption of water by the porous
insulating material and the distance between the hole in the roof and the leak
in the ceiling, leads to an estimate that the fall took place between February
3 and February 14. Mineralogy and classification (M. Bourot-Denise, MNHNP):
low-Ca pyroxene En36Wo3 with lamellae of high-Ca pyroxene
En29.5Wo42.5, and laths of plagioclase An90;
consists of clasts with pyroxene grain size about 100-200 µm, in a matrix of
same texture and composition but smaller grain size (~50-100 µm). Minor phases include chromite (0.3% MgO, 8% Al2O3,
2.6% TiO2, 0.6% MnO), ilmenite (0.4% MgO, 1% MnO), silica, iron
sulfide, Fe-Ni metal. Specimens: type specimen, 130 g, MNHNP; rest of
the mass with finder.
"
23,461,"Aldsworth",700,"Valid","LL5",51.78333,-1.78333,1835,"Fell",167,2,0,0,0,""
24,462,"Aleppo",3200,"Valid","L6",36.23333,37.13333,1873,"Fell",125,4,0,0,0,""
25,463,"Alessandria",908,"Valid","H5",44.88333,8.75,1860,"Fell",305,2,0,1,0,""
26,465,"Alexandrovsky",9251,"Valid","H4",50.95,31.81667,1900,"Fell",151,1,0,0,0,""
27,466,"Alfianello",228000,"Valid","L6",45.26667,10.15,1883,"Fell",1070,9,0,0,0,""
28,2276,"Allegan",32000,"Valid","H5",42.53333,-85.88333,1899,"Fell",1510,40,0,0,0,""
29,2278,"Allende","2e+06","Valid","CV3",26.96667,-105.31667,1969,"Fell",38600,1670,8,392,36,"FALL OF PUEBLITO DE ALLENDE STONY METEORITE SHOWER, MEXICO
Name: PUEBLITO DE ALLENDE.
The place of fall or discovery: The village of Pueblito de Allende, Chihuahua, Mexico; φ = 26°58'N, λ = 105°19'W.
Date of fall or discovery: FALL, February 8, 1969, 7h05m
GMT. 
Class and type: STONY, carbonaceous chondrite, type III.
Number of individual specimens: METEORITE SHOWER, several dozen were collected.
Total weight: Over 100 kg.
Circumstances of the fall or discovery: The huge fireball lighted up thousands of square miles of Northern Mexico and Southwestern United States. The fireball travelled from south to north. A meteorite shower spread over 50 square kilometers area. There are several pits; the biggest one is 60 cm across and 15 cm deep. Search and preliminary investigation of the meteorites were carried out by Dr. E. King (NASA), Drs. B. Mason and R. Clarke (Smithsonian Institution, Washington, USA) and others.
Source: A telegram and the information reports No. 383, 387, 389, 394, 396, 401 and 402
of the Center for Short-lived Phenomena of the Smithsonian Institution, Cambridge, USA.
"
30,48915,"Almahata Sitta",3950,"Valid","Ureilite-an",20.74575,32.41275,2008,"Fell",39600,788,0,18,4,"
Almahata Sitta                     20°43.04'N, 32°30.58'E 
(“Station 6” in Arabic), Nahr an Nil, Nubian Desert, Sudan 
Fall: 7 October 2008, 05:46 h local time (UT+3) 
Achondrite (ureilite, polymict, anomalous) 
History: On October 6, 2008, a small asteroid called 2008 TC3 was discovered by the automated Catalina Sky Survey 1.5 m telescope at Mount Lemmon, Tucson, Arizona, and found to be on a collision course with Earth. Numerous astronomical observatories followed the object until it entered the Earth’s umbra at Oct. 7.076 UTC the next day. The astrometric position of 295 observations of 2008 TC3 over the period Oct. 6.278 to Oct. 7.063 was used to calculate the approach trajectory over the impact location in northern Sudan. The object exploded at a high ~37 km altitude over the Nubian Desert, and as a result the meteorites are spread over a large area. A search was organized by the University of Khartoum on Dec. 2–9, led by P. Jenniskens (SETI Institute) and M. H. Shaddad (Khartoum). 
Physical characteristics: During the first expedition, 15 meteorites were found along the approach path of the asteroid, for a total weight of 563 g. A second field expedition, on Dec. 25–30, added 37 meteorites, for a total recovered weight of 3.95 kg, spread over an area of 28 × 5 km. The meteorites are dark, thinly crusted, and roundish in shape, ranging in size from 1–10 cm. 
Petrography (M. Zolensky, JSC, and A. Steele, CIW): The sample is a fine-grained, fragmental breccia with subrounded mineral fragments and olivine aggregates embedded in a cataclastic matrix of ureilitic material. Mineral fragments include polycrystalline olivine, low-Ca pyroxene, pigeonite and carbon-rich aggregates up to 0.5 mm in maximum dimension, kamacite, and troilite. The examined samples have considerable porosity; the pore walls are commonly coated by anhedral to euhedral crystals of low-Ca pyroxene (Fs2Wo3) and olivine (Fa12–14), and in some instances spherules of kamacite and botryoidal masses of troilite. Most olivine and pyroxene aggregates have interstitial silicates with Si-content that increases adjacent to metal grains. Some clasts consist of rounded pyroxene grains containing an abundant nanophase Fe-rich mineral. Aggregates of carbonaceous material are common and measure up to 0.5 mm—these contain fine-grained troilite and kamacite, the latter containing Si and P. The major carbon phase is graphite. Shock effects are not apparent. 
Mineral compositions and geochemistry: Low–Ca pyroxene: Fs2Wo5-Fs17Wo4, Cr2O3 = 0.33–1.02 wt%; pigeonite: Fs15Wo5-Fs18Wo11, Cr2O3 = 0.72–1.11 wt%), olivine (Fa8–15, CaO = 0.15–0.51 wt%, Cr2O3 = 0.03– 1.58 wt%). Kamacite is Fe0.92Ni0.08-Fe0.96Ni0.04. Troilite contains up to 4.3 wt% Cr. Mineral grains exhibit no zoning. 
Classification: Achondrite (ureilite, polymict, anomalous). Anomalous features include lack of zoning of olivine, large size of carbonaceous aggregates, and overall fine-grained texture. 
Type specimens: Samples with masses ranging from a few to a few hundred grams for a total of 3.95 kg are on deposit at Khartoum.   "
31,2284,"Alta'ameem",6000,"Valid","LL5",35.27333,44.21556,1977,"Fell",200,4,0,0,0,"FALL OF
THE ALTA'AMEEM, IRAQ, STONY METEORITE 
Name: ALTA’AMEEM
Place of
fall: About 100 m N. of the village of
Humaira, northern Iraq. 
 35°16'24""N.,
44°12'56""E. (approx.).
Date of fall: August
20, 1977 between 1030 and 1100 hrs.
Class and
type: Stone. Olivine hypersthene chondrite,
amphoterite.
Number of
individual
 specimens: 1,
broken on impact into many fragments.
Total weight: 6
kg approx. recovered.
Circumstances
of fall: After at least one detonation, villagers reported
hearing a humming sound that ended when the meteorite struck the ground.
Source: Dr.
Y. Al-Rawi, Department of Geology, College of Science, University of Baghdad,
Baghdad, Iraq.
"
32,2290,"Ambapur Nagla",6400,"Valid","H5",27.66667,78.25,1895,"Fell",56,2,0,1,0,""
33,2294,"Andhara",2700,"Valid","Stone-uncl",26.58333,85.56667,1880,"Fell",6,4,0,1,0,""
34,2295,"Andover",3200,"Valid","L6",44.61667,-70.75,1898,"Fell",317,5,0,0,0,""
35,2296,"Andreevka",600,"Valid","L3",48.7,37.5,1969,"Fell",5,0,0,0,0,"FALL OF THE ANDREEVKA, USSR, STONY METEORITE
Name: ANDREEVKA (АНДРЕЕВКА)
Place of fall: The village of Andreevka, Slaviansky district, Donetz region, USSR.
48.7°N, 37.5°E.
Date of fall: August 7, 1969, about 7 p.m. Moscow time.
Class and type: Stone. Olivine-hypersthene chondrite.
Number of individual specimens: 1
Total weight: About 0.6 kg
Circumstances of fall: A meteorite made a hole in a slate roof of a house and fell on the floor of the garret. It was picked up by an owner of the house. The meteorite was broken. The largest fragment weighing 150 g is in the Donets Museum of Regional Studies.
Sources: A.A. Yasinskaya, E.G. Osadchij, N.V. Buturlinov and G.A. Micheev. 1973. The new meteorite Andreevka. Meteoritika No. 32, 100-102. E.G. Osadchy. 1973. The Andreevka meteorite fall. Meteoritika No. 32, 160-161.
"
36,2298,"Andura",17900,"Valid","H6",20.88333,76.86667,1939,"Fell",79,0,0,0,0,""
37,2301,"Angers","","Valid","L6",47.46667,-0.55,1822,"Fell",912,3,0,1,0,""
38,2302,"Angra dos Reis (stone)",1500,"Valid","Angrite",-22.96667,-44.31667,1869,"Fell",0,0,0,0,0,""
39,2304,"Ankober",6500,"Valid","H4",9.533329999999999,39.71667,1942,"Fell",935,14,0,0,0,"Name: ANKOBER The place of discovery: Near Ankober, northeast of Addis Ababa at Basso, in the zone of Bolede, Ethiopia, Africa.  φ = 10°N, λ =40°E. Date of discovery: FALL, July 7, 1942 at 11:00 a.m. Class and type: Stone, chondrite. The number of separate specimens: 1  Total weight, grams: 6500 "
40,2305,"Anlong",2500,"Valid","H5",25.15,105.18333,1971,"Fell",885,7,0,1,0,""
41,2313,"Aomori",320,"Valid","L6",40.81056,140.78556,1984,"Fell",366,10,0,0,0,"FALL OF
THE AOMORI, JAPAN, STONY METEORITE
Name: AOMORI
Place of
fall: Aomori city, Aomori-ken, Honshu, Japan. 
 40°48'38'N,
140°47'8""E.
Date of fall: June
30, 1984, 1350 hrs.
Class and
type: Stone. Olivine-hypersthene chondrite (L6).
Olivine Fa24 4. 
Number of
individual
 specimens: 1,
collected as 12 fragments.
Total weight: 320
g
Circumstances
of fall: No fireball was seen, nor any detonations heard,
prior to the fall of the stone which fragmented on penetrating the zinc roof of
a printing shop.
Source: Dr.
S. Murayama, National Science Museum, Ueno Park, Tokyo 110, Japan.
"
42,2318,"Appley Bridge",15000,"Valid","LL6",53.58333,-2.71667,1914,"Fell",9390,9,0,1,0,""
43,2320,"Apt",3200,"Valid","L6",43.86667,5.38333,1803,"Fell",1020,3,0,1,0,""
44,2325,"Arbol Solo",810,"Valid","H5",-33,-66,1954,"Fell",4780,3,0,0,0,"
DISCOVERY OF ARBOL SOLO STONY METEORITE, ARGENTINA
Name: ARBOL SOLO.
The place of fall or discovery:  Arbol Solo (small village), Socoscora District, Belgrano Department, San Luis Province, Argentina.
Date of fall or discovery: FALL, September 11, 1954, 21 hrs.
Class and type: STONY.
Number of individual specimens: Many specimens (meteorite shower):
Total weight: Unknown.
Circumstances of the fall or discovery:  After intensive brilliance and a noise resembling a hailstorm, many stones meteorites were fallen; the trajectory of fall was from east to west. In the following morning, stones were found scattered, some of them in the yards of the houses, and in the corrals. Several stones remained in hands of particulars of the zone; specimen, some 600 grs. in the University of Cuyo, Mendoza; an individual specimen, 165 grs., in the L. O. Giacomelli Private Collection of Meteo­rites (Buenos Aires, Argentina).
Source: Report of Dr. L. O. Giacomelli (Buenos Aires, Argen­tina) in a letter VIII. 30 1964."
45,2329,"Archie",5070,"Valid","H6",38.5,-94.3,1932,"Fell",2450,12,0,0,0,""
46,2340,"Arroyo Aguiar",7450,"Valid","H5",-31.41667,-60.66667,1950,"Fell",2810,2,0,0,0,"ARROYO
AGUIAR, near the railway Station Arroyo Aguiar, La Capital
Depart­ment, Santa Fe Province, Argentina; φ = 31°25' S, λ = 60°40'W
(Gr.).
Fall, in the
summer of 1950. Stony, chondrite.
1 specimen,
weight 7.45 kg. The meteorite was seen to fall by a rancher, who found it soon
after in the soil which it penetrated some 50 cm.
Source: The
Article by J. L. Benet: «El meteorito de Arroyo Aguiar (Provincia de Santa F6)»:
Universidad Nacional del Literal, Santa Fé, Republica Argentina, 1961, and a letter of Dr. L. O. Giacontelli to E. L. Krinov, November 10, 1962.
"
47,2345,"Asco",41,"Valid","H6",42.45,9.033329999999999,1805,"Fell",862,21,0,0,0,""
48,48954,"Ash Creek",9500,"Valid","L6",31.805,-97.01000000000001,2009,"Fell",13100,64,2,1,5,"
Ash Creek                              31°48.3′N, 97°00.6′W
McLennan County, Texas, United States
Fall: 15 February 2009; 11:00 AM CST (UT-6)
Ordinary chondrite (L6)
History: On Sunday February 15, 2009 (11:00 A.M. CST), News 8 cameraman Eddie Garcia recorded a fireball 180 km south of downtown Austin, Texas. From SE of Austin to Ft. Worth, many people observed the bolide. Using National Weather Service Doppler reflectivity radar measurements (NWS Ft. Worth and Granger stations) the bolide location was recorded at 11:03 A.M. D. Dawn led a team, which interviewed witnesses in the strewn field within 48 hours following the fall. In southern Hill County, straddling the northern corner of McLennan County, sonic booms were widely heard for a duration of 20–30 s in the area from Hubbard to Aquilla. The fireball was bright and the meteoroid fragmented overhead near Birome, where the sonic booms were reported loudest. In Aquilla, the rumblings were likened to “a jet taking off,” and the event was described at 30–40 degrees altitude in the eastern sky, with some horizontal movement. Strong sonic booms were widely reported from Hubbard and Penelope. J. Trussell heard a rumbling, which initially vibrated a window at about 11:00 A.M. CST. He looked north along Ash Creek and saw two segments of a smoke trail separated by a thick cloud. Shortly afterwards, a blackened stone rolled near his foot and a second impacted a shed behind him. Meteorites were found on February 17 by D. Sadilenko and D. Dawn on the banks Ash Creek, northern corner of McLennan County. 
Physical Characteristics: Three large masses were found: a 1.7 kg specimen recovered by L.B. Etter on a farm in Menlow; a 1.673 kg stone purchased by meteorite dealer S. Arnold; and a 1.5 kg specimen purchased by M. Farmer from an anonymous landowner who suggested it was found in the vicinity of Aquilla. All other masses reported were less than 300 g each. According to reports, over 300 stones were found in McLennan and Hill Counties with an estimated total of over 11.7 kg. Approximately 75% of the finds were completely covered with thick black fusion crust, often with dark rust colored spots, even on specimens recovered within two days of the fall. Drizzle and heavy dew wet specimens in the strewn field for the first two nights following the fall, and heavy rain on March 13 soaked the area, oxidizing many specimens. Broken and cut surfaces reveal a dark/light gray breccia. 
Petrography (A. Rubin, UCLA): Many plagioclase grains exceed 50 μm in size. Some metal grains contain irregular troilite inclusions. Metallic Cu is present in some metal. Metal- and sulfide-bearing shock veins are present and the meteorite exhibits silicate darkening. 
Mineral Compositions (A. Rubin, UCLA): Olivine (Fa24.2 ± 0.2; n = 12), low-Ca pyroxene (Fs20.5 ± 0.7, Wo1.6 ± 0.2; n = 12). Taenite is more abundant than kamacite; average compositions: kamacite (Fe = 93.1%, Ni = 5.8%, Co = 0.83%; n = 4) and taenite (Fe = 69.6%, Ni = 30.3%, Co = 0.30%; n = 9). 
Classification: Ordinary chondrite (L6) breccia; S3, W0. Type Specimen: 30.91 g is at UCLA including a crusted 17.8 g piece, a 10.02 g end cut and a 3.09 g slice. M. Farmer holds 1.5 kg, D. Stimpson purchased Etter’s 1.7 kg mass; and the 1.673 kg mass was sliced and sold.  "
49,2346,"Ashdon",1300,"Valid","L6",52.05,0.3,1923,"Fell",232,6,0,2,0,""
50,2353,"Assisi",2000,"Valid","H5",43.03333,12.55,1886,"Fell",3810,19,2,1,0,""
51,4883,"Atarra",1280,"Valid","L4",25.25417,80.625,1920,"Fell",135,3,0,0,0,""
52,4884,"Atemajac",94.2,"Valid","L6",20.06667,-103.66667,1896,"Fell",2,2,0,1,0,""
53,4885,"Athens",265,"Valid","LL6",34.75,-87,1933,"Fell",392,12,0,0,0,""
54,4888,"Atoka",1384.2,"Valid","L6",34.31667,-96.15000000000001,1945,"Fell",573,5,0,1,0,""
55,4893,"Aubres",800,"Valid","Aubrite",44.38333,5.16667,1836,"Fell",219,6,0,0,0,""
56,4899,"Aumale",50000,"Valid","L6",36.16667,3.66667,1865,"Fell",225,3,0,0,0,""
57,4900,"Aumieres",2000,"Valid","L6",44.33333,3.23333,1842,"Fell",6,3,0,0,0,""
58,4903,"Ausson",50000,"Valid","L5",43.08333,0.58333,1858,"Fell",3520,2,0,0,0,""
59,4905,"Avanhandava",9330,"Valid","H4",-21.46028,-49.95083,1952,"Fell",525,7,0,0,0,""
60,4906,"Avce",1230,"Valid","Iron, IIAB",46,13.5,1908,"Fell",7,3,0,1,0,""
61,4907,"Avilez",146,"Valid","H",25,-103.5,1855,"Fell",2,2,0,0,0,""
62,4910,"Awere",134,"Valid","L4",2.71667,32.83333,1968,"Fell",2,2,0,0,0,"FALL OF THE AWERE, UGANDA, STONY METEORITE
Name: AWERE
Place of fall: Awere, Omoro County, Uganda.
Date of fall: July 12, 1968, about 3 a.m. local time.
Class and type: Stone. Olivine-hypersthene chondrite (L4).
Number of individual specimens: 1
Total weight: 134 g
Circumstances of fall: The fireball shone brightly in the night sky and the fall was accompanied by detonations. A larger stone is also said to have fallen, but it has not been found.
Source: Robert Hutchinson (sic). 1971. Awere, a new L4 chondrite fall. Meteoritics 6, 53-55.
"
63,4913,"Aztec",2830,"Valid","L6",36.8,-108,1938,"Fell",147,6,0,1,0,""
64,4917,"Bachmut",18000,"Valid","L6",48.6,38,1814,"Fell",139,1,0,0,0,""
65,4922,"Bahjoi",10322,"Valid","Iron, IAB-sLL",28.48333,78.5,1934,"Fell",10,1,0,0,0,""
66,4925,"Bald Mountain",3700,"Valid","L4",35.96667,-82.48333,1929,"Fell",8,2,0,0,0,""
67,4926,"Baldwyn",345,"Valid","L6",34.5,-88.66667,1922,"Fell",154,5,0,1,0,""
68,4928,"Bali",1000,"Valid","CV3",5.38333,16.38333,1907,"Fell",313,5,0,1,0,""
69,4934,"Ban Rong Du",16700,"Valid","Iron, ungrouped",16.66667,101.18333,1993,"Fell",7,2,0,0,0,"Ban Rong Du
Phetchabun,
Thailand
Fell
1993 June 13, 20:30 local time (12:30 UT)
Iron,
coarse octahedrite (ungrouped) 
A 16.7 kg iron meteorite was
collected by Mr. Saree Ragkon and Mrs. Kumla
Ragkon from the bottom of a 110 cm deep hole in sandy soil.  The
meteorite was observed to fall at a steep angle, coming from the southwest.
Classification and description (J. T. Wasson, UCLA; Prinya
Putthapiban and Sirot Salyapongse, DMRT):  bandwidth, 1.9 mm; bulk Ni,
7.90 wt%; Co, 0.572 wt%; Ga, 22.5 ppm; Ge, 54.7 ppm; As, 12.7 ppm; Ir, 4.13 ppm;
Pt, 27 ppm; see Royal Thai Dept. Min. Res. (1993).  Specimens:  main mass with
finder; type specimen, 4.5 g, UCLA; ~20 g, DMRT (contact Dr.
Prinya Putthapiban). 
"
70,4935,"Bandong",11500,"Valid","LL6",-6.91667,107.6,1871,"Fell",74,0,0,1,0,""
71,4936,"Bansur",15000,"Valid","L6",27.7,76.33333,1892,"Fell",4,0,0,0,0,""
72,4937,"Banswal",14,"Valid","L5",30.4,78.2,1913,"Fell",3,0,0,0,0,""
73,4938,"Banten",629,"Valid","CM2",-6.33333,106,1933,"Fell",629,11,0,1,0,"
FALL OF THE BANTEN, INDONESIA, STONY METEORITE
Name: BANTEN
Place of fall: In NW. Java, Indonesia.
6°20'S., 1060E., approximately.
Date of fall: May 24, 1953, between 0400 and 0500 hrs.
Class and type: Stone. Carbonaceous chondrite, type II. Olivine Fa0-70. 
Number of individual specimens: 4
Total weight: 629 g.
Circumstances of fall: Not reported.
Source: K. Fredriksson, Department of Mineral Sciences, Smithsonian Institution, Washington, D.C. 20560, USA."
74,4942,"Barbotan",6400,"Valid","H5",43.95,-0.05,1790,"Fell",180,3,0,0,0,""
75,4944,"Barcelona (stone)","","Valid","OC",41.36667,2.16667,1704,"Fell",0,0,0,0,0,""
76,4946,"Barea",3200,"Valid","Mesosiderite-A1",42.38333,-2.5,1842,"Fell",4,0,0,0,0,""
77,4947,"Barnaul",23.2,"Valid","H5",52.73333,84.08333,1904,"Fell",3110,13,0,1,0,""
78,4948,"Barntrup",17,"Valid","LL4",52,9.1,1886,"Fell",82,2,0,2,0,""
79,4949,"Baroti",4500,"Valid","L6",31.61667,76.8,1910,"Fell",9,0,0,0,0,""
80,4954,"Barwell",44000,"Valid","L5",52.56528,-1.33972,1965,"Fell",1410,70,37,26,2,"FALL OF BARWELL
STONY METEORITE, GREAT BRITAIN
Name: BARWELL
The place
of fall or discovery: At Barwell, near Leicester, Leicestershire, Great Britain.
Date of
fall or discovery: FALL, December 24, 1965, 4h 20m
p.m. 
Class and
type:     STONY, olivine-hypersthene chondrite. 
Number of
individual specimens: ?
Total
weight:        At least 18 kg of fragments have been recovered. 
Circumstances
of the fall or discovery:
Source:  Report
of Dr. M. H. Hey (London, England) in a letter, 1. 10. 1966.
"
